BY YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2019-20,LAL,8,16.3,5.9,2.8,4,68.8,0,0,0,0.4,0.8,50,1.8,3.3,5,0.8,1,0.4,1.1,1.8,16.5,0,0,2
2018-19,LAL,75,22.3,12,5.3,8.5,62.4,0,0.2,8.3,1.3,2,63.2,2.6,4.9,7.5,0.7,1.4,0.6,2,2.8,28.4,14,0,-2.1
2017-18,GSW,65,9.5,4.8,2.1,3.4,62.1,0,0.1,0,0.6,0.8,73.1,0.9,1.7,2.6,0.5,0.4,0.3,0.9,1.4,11.8,0,0,0.6
2016-17,GSW,77,9.6,6.1,2.7,4.1,65.2,0,0,0,0.7,1.4,50.5,1.3,1.9,3.2,0.2,0.5,0.2,0.9,1.4,13.1,0,0,4.1
2015-16,DAL,34,10.9,5.1,2.3,3.9,57.5,0,0,0,0.5,1.1,50,1.6,2.4,3.9,0.1,0.6,0.1,0.8,1.4,12,1,0,-1.6
2014-15,TOT,23,11.1,4.6,1.8,3.4,53.2,0,0,0,1,1.4,66.7,0.8,1.9,2.7,0.1,0.8,0.1,0.9,1.3,10.1,0,0,-3
2014-15,PHI,6,10.2,3,1.3,3,44.4,0,0,0,0.3,0.7,50,0.7,1.5,2.2,0.3,0.8,0,0.2,0.3,5.8,0,0,-4.5
2014-15,DEN,17,11.4,5.2,2,3.6,55.7,0,0,0,1.2,1.7,69,0.8,2,2.8,0.1,0.8,0.1,1.1,1.6,11.6,0,0,-2.5
2013-14,DEN,5,15.9,7,3.4,7.6,44.7,0,0,0,0.2,0.2,100,2,1.4,3.4,0.4,1.6,0.2,1.4,3.2,14.9,0,0,-1
2012-13,DEN,79,18.1,9.1,3.8,6.7,57.5,0,0,100,1.4,2.4,59.1,2,2.8,4.8,0.3,1.1,0.4,2,2.3,21.3,2,0,0.8
2011-12,TOT,61,25.2,11.3,5,9,55.6,0,0,0,1.3,2.7,46.1,2.7,5.1,7.8,0.5,1.4,0.6,2.2,2.7,28.3,15,0,-5
2011-12,DEN,20,20.5,10.3,4.7,7.6,61.2,0,0,0,1,2.6,37.3,1.8,4,5.8,0.3,1,0.5,1.6,2.4,22.8,2,0,-0.1
2011-12,WAS,41,27.4,11.9,5.2,9.8,53.5,0,0,0,1.4,2.8,50,3.1,5.7,8.8,0.6,1.7,0.6,2.5,2.9,30.9,13,0,-7.4
2010-11,WAS,79,27.8,10.1,4.2,7.6,55,0,0,0,1.7,2.9,58.3,2.8,5.2,8,0.5,1.3,0.5,2.4,2.9,28,21,1,-2.9
2009-10,WAS,60,16.1,6.4,2.6,5.1,50.8,0,0,0,1.2,1.9,63.8,1.5,2.6,4.1,0.2,0.9,0.3,1.7,2,16.6,6,0,-2.9
2008-09,WAS,75,15.2,6.5,2.5,5.2,49.4,0,0,0,1.4,2.2,66,1.6,2.3,3.9,0.3,0.8,0.4,1,2.1,15.2,4,0,-3.9
