BY YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2019-20,LAL,7,27.4,10.4,4.4,8.7,50.8,1,3,33.3,0.6,0.9,66.7,0.3,3.3,3.6,1,1.1,1.1,0.1,2.4,18.9,0,0,6.4
2018-19,TOT,63,30.2,9.9,3.9,9.7,40.8,1.4,3.9,35.1,0.7,0.8,86,0.7,2.1,2.8,2.4,1.4,0.7,0.3,2.7,18.2,0,0,-1.3
2018-19,MEM,14,31.6,16.1,6.2,13.4,46.3,2,5.2,38.4,1.6,1.8,92,0.6,2.6,3.1,4,2,1,0,2.4,26.8,0,0,-1.2
2018-19,LAC,49,29.9,8.2,3.3,8.6,38.3,1.2,3.5,33.7,0.4,0.5,80,0.7,2,2.7,2,1.2,0.6,0.3,2.7,15.7,0,0,-1.3
2017-18,TOT,46,31.2,14.3,5.6,13.6,41.4,1.6,4.4,36.9,1.4,1.8,76.8,0.5,2,2.5,2,2.2,1.1,0.2,2,22,0,0,-2.7
2017-18,LAC,6,27.5,9.2,4.3,9.2,47.3,0.2,1.5,11.1,0.3,0.3,100,0.5,3.2,3.7,1.8,1.3,0.8,0.2,2,18,0,0,0.5
2017-18,DET,40,31.7,15,5.8,14.3,40.9,1.9,4.9,38.1,1.5,2,76.3,0.5,1.9,2.4,2.1,2.3,1.2,0.2,2,22.6,0,0,-3.1
2016-17,BOS,55,33.4,16.3,6.5,14.1,46.3,2,5,39,1.2,1.7,73.1,1.2,4.9,6.1,2.2,1.6,1.2,0.2,2.6,29.6,10,0,1.3
2015-16,BOS,76,33.4,15.2,6,13.4,44.7,1.9,5.4,36.1,1.3,1.6,78,0.6,2.3,2.9,2.1,1.4,1.5,0.3,2.2,25.7,0,0,2.8
2014-15,BOS,77,31.5,13.9,5.6,13.2,42.8,1.6,4.6,35.2,1,1.3,79,0.6,2.5,3.1,1.8,1.4,1.1,0.2,2.3,22.7,1,0,-1.1
2013-14,BOS,60,30.9,14.9,6,13.8,43.8,1.3,3.3,39.5,1.5,1.9,80.4,0.8,3,3.8,1.4,1.6,1.1,0.2,2.4,23.6,1,0,-2.1
2012-13,BOS,50,28.7,9.2,3.8,9.6,40.2,0.8,2.5,31.7,0.7,1,75.5,0.6,1.6,2.2,2.1,1.4,1.3,0.4,2.6,18.5,0,0,-0.9
2011-12,BOS,64,21.4,7.6,3.1,6.3,49.8,0.3,0.8,40.7,1,1.2,79.5,0.5,1.3,1.8,1.4,1.2,0.7,0.2,1.7,13.2,0,0,1.5
2010-11,BOS,31,5.2,1.7,0.7,2.2,34.3,0,0.2,0,0.2,0.4,50,0.1,0.4,0.5,0.4,0.5,0.3,0,0.6,3.3,0,0,-1.8
