DATE,OPP,RESULT,RECORD,TOP SCORER (W),TOP SCORER (L)
Oct 22 2019,@ L.A. Clippers,L 112-102,0-1,K. Leonard (30),D. Green (28)
Oct 25 2019,vs Utah,W 95-86,1-1,L. James (32),D. Mitchell (24)
Oct 27 2019,vs Charlotte,W 120-101,2-1,A. Davis (29),M. Bridges (23)
Oct 29 2019,vs Memphis,W 120-91,3-1,A. Davis (40),J. Morant (16)
Nov 1 2019,@ Dallas,W 119-110 / OT,4-1,L. James (39),L. Doncic (31)
Nov 3 2019,@ San Antonio,W 103-96,5-1,A. Davis (25),D. Murray (18)
Nov 5 2019,@ Chicago,W 118-112,6-1,L. James (30),Z. LaVine (26)
Nov 8 2019,vs Miami,W 95-80,7-1,A. Davis (26),J. Butler (22)
Nov 10 2019,vs Toronto,L 113-104,7-2,P. Siakam (24),A. Davis (27)
Nov 12 2019,@ Phoenix,W 123-115,8-2,A. Davis (24),R. Rubio (21) D. Booker (21)
Nov 13 2019,vs Golden St.,W 120-94,9-2,L. James (23),D. Russell (21)
Nov 15 2019,vs Sacramento,W 99-97,10-2,L. James (29),B. Hield (21)
